INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
000905.SH	688019.SH	20260513	168554258	70	117987981	1	0.2892	271.5
000905.SH	603565.SH	20260513	2100063103	40	840025241	1	0.0839	11.07
000905.SH	603486.SH	20260513	579121261	40	231648504	1	0.1335	63.84
000905.SH	603444.SH	20260513	72041101	60	43224661	1	0.1497	383.69
000905.SH	603379.SH	20260513	610479037	40	244191615	1	0.1349	61.2
000905.SH	603345.SH	20260513	293294232	70	205305962	1	0.19	102.5
000905.SH	603341.SH	20260513	470331544	50	235165772	1	0.0838	39.46
000905.SH	603338.SH	20260513	506347879	50	253173940	1	0.1291	56.51
000905.SH	603298.SH	20260513	1309812049	40	523924820	1	0.1404	29.68
000905.SH	603290.SH	20260513	239473466	50	119736733	1	0.1223	113.13
000905.SH	603233.SH	20260513	1138847895	40	455539158	1	0.0771	18.76
000905.SH	603228.SH	20260513	984784137	50	492392069	1	0.3386	76.17
000905.SH	603225.SH	20260513	1676989681	50	838494841	1	0.1338	17.68
000905.SH	603179.SH	20260513	510141893	70	357099325	1	0.2327	72.2
000905.SH	603160.SH	20260513	464662636	60	278797582	1	0.167	66.37
000905.SH	603156.SH	20260513	1260277566	40	504111026	1	0.1958	43.02
000905.SH	603129.SH	20260513	152577663	70	106804364	1	0.254	263.41
000905.SH	603087.SH	20260513	597304969	60	358382981	1	0.1914	59.15
000905.SH	603077.SH	20260513	8831391228	70	6181973860	1	0.1546	2.77
000905.SH	603049.SH	20260513	874485598	10	87448560	1	0.0382	48.43
000905.SH	603000.SH	20260513	1105691056	50	552845528	1	0.0994	19.91
